id,sinav_turu,yil,konu,alt_konu,soru_tipi,zorluk,soru_metin,secenek_A,secenek_B,secenek_C,secenek_D,secenek_E,dogru_cevap,kaynak_turu,gorsel_bagimli,text_input,stratify_col
187,LGS,2025,Kareköklü İfadeler,Alan ve Geometri,Problem,Kolay,Evde √18 br genişliğinde iki pencere kapıya eşit √8 br uzaklıkta. Pencerelerin en uzak köşeleri arası 14√2 br. Kapının genişliği kaç birimdir?,√18,√24,√32,√50,√60,C,Kitap,destekleyici,"[SORU] Evde √18 br genişliğinde iki pencere kapıya eşit √8 br uzaklıkta. Pencerelerin en uzak köşeleri arası 14√2 br. Kapının genişliği kaç birimdir?
[A] √18
[B] √24
[C] √32
[D] √50
[E] √60",Alan ve Geometri_Problem
610,LGS,2022,Kareköklü İfadeler,Alan ve Geometri,Yorum,Zor,Çevresi √800 cm olan dikdörtgen kağıt kare ve dikdörtgen olarak ayrılıyor. Kare kenarı √8 cm ise dikdörtgenin alanı kaçtır?,16,24,32,40,,B,MEB,bagimli,"[SORU] Çevresi √800 cm olan dikdörtgen kağıt kare ve dikdörtgen olarak ayrılıyor. Kare kenarı √8 cm ise dikdörtgenin alanı kaçtır?
[A] 16
[B] 24
[C] 32
[D] 40
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Yorum
356,LGS,2020,Kareköklü İfadeler,Kök Sadeleştirme,Hesaplama,Orta,√72 · √27 / √36 işleminin sonucu aşağıdaki sayılardan hangisi ile çarpılırsa sonuç bir doğal sayı olur?,√6,√5,√3,√2,,A,Kitap,yok,"[SORU] √72 · √27 / √36 işleminin sonucu aşağıdaki sayılardan hangisi ile çarpılırsa sonuç bir doğal sayı olur?
[A] √6
[B] √5
[C] √3
[D] √2",Kök Sadeleştirme_Hesaplama
637,LGS,2022,Kareköklü İfadeler,Alan ve Geometri,Yorum,Orta,Bir karenin alanı 98 cm²’dir. Bu karenin bir kenarı kaç cm’dir?,7√2,14,√49,2√7,,A,MEB,yok,"[SORU] Bir karenin alanı 98 cm²’dir. Bu karenin bir kenarı kaç cm’dir?
[A] 7√2
[B] 14
[C] √49
[D] 2√7",Alan ve Geometri_Yorum
163,LGS,2025,Kareköklü İfadeler,İşlem ve Sadeleştirme,Hesaplama,Kolay,√3 . (√2 + 1) - (√12 / √2) - (√6 / √3) işlemi kaça eşittir?,0,√2,√3,√3 - √2,2,D,Kitap,yok,"[SORU] √3 . (√2 + 1) - (√12 / √2) - (√6 / √3) işlemi kaça eşittir?
[A] 0
[B] √2
[C] √3
[D] √3 - √2
[E] 2",İşlem ve Sadeleştirme_Hesaplama
453,LGS,2025,Kareköklü İfadeler,Algoritmik / Mantıksal Problemler,Problem,Zor,"Aşağıdaki mavi ve beyaz bölmeden oluşan eş kartların her bir bölümünde bir sayı yazmaktadır. Bu kartlar belirli bir kurala göre birbirine yapıştırılacaktır. Bu kurala göre kartlar, farklı renkteki bölümler yan yana gelecek ve yan yana olan bölümlerde yazan sayıların değeri birbirine eşit olacak biçimde yapıştırılacaktır. Bu kartlardan ilk ikisinin yapıştırılmış hâli aşağıda verilmiştir. Bu dört kartın yapıştırılması tamamlandıktan sonra aynı kurala göre, dördüncü kartın sağına bir kart daha yapıştırılırsa bu kart aşağıdakilerden hangisi olabilir?",6 √81,9 √64,25 √36,4 √25,,A,MEB,bagimli,"[SORU] Aşağıdaki mavi ve beyaz bölmeden oluşan eş kartların her bir bölümünde bir sayı yazmaktadır. Bu kartlar belirli bir kurala göre birbirine yapıştırılacaktır. Bu kurala göre kartlar, farklı renkteki bölümler yan yana gelecek ve yan yana olan bölümlerde yazan sayıların değeri birbirine eşit olacak biçimde yapıştırılacaktır. Bu kartlardan ilk ikisinin yapıştırılmış hâli aşağıda verilmiştir. Bu dört kartın yapıştırılması tamamlandıktan sonra aynı kurala göre, dördüncü kartın sağına bir kart daha yapıştırılırsa bu kart aşağıdakilerden hangisi olabilir?
[A] 6 √81
[B] 9 √64
[C] 25 √36
[D] 4 √25
[GÖRSEL] Bu soru görsele bağlıdır.",Algoritmik / Mantıksal Problemler_Problem
52,LGS,2020,Kareköklü İfadeler,Üslü ve Köklü İfadeler,Hesaplama,Orta,"√2 = m, √5 = n olmak üzere 0,016'nın m ve n cinsinden değeri aşağıdakilerden hangisidir?",m³/n²,m²/n²,m/n³,m²/n,m/n,C,Deneme,yok,"[SORU] √2 = m, √5 = n olmak üzere 0,016'nın m ve n cinsinden değeri aşağıdakilerden hangisidir?
[A] m³/n²
[B] m²/n²
[C] m/n³
[D] m²/n
[E] m/n",Üslü ve Köklü İfadeler_Hesaplama
268,LGS,2025,Kareköklü ifadeler,İşlem ve Sadeleştirme,Hesaplama,Orta,(2√28 − √63) / √7 işleminin sonucu kaçtır?,1,√2,2,√7,7,A,Kitap,yok,"[SORU] (2√28 − √63) / √7 işleminin sonucu kaçtır?
[A] 1
[B] √2
[C] 2
[D] √7
[E] 7",İşlem ve Sadeleştirme_Hesaplama
506,LGS,2025,Kareköklü İfadeler,Alan ve Geometri,Hesaplama,Kolay,Kenar uzunlukları √50 cm ve √18 cm olan bir dikdörtgenin çevresi kaç santimetredir?,4√2,2√17,2√34,16√2,,D,MEB,yok,"[SORU] Kenar uzunlukları √50 cm ve √18 cm olan bir dikdörtgenin çevresi kaç santimetredir?
[A] 4√2
[B] 2√17
[C] 2√34
[D] 16√2",Alan ve Geometri_Hesaplama
180,LGS,2025,Kareköklü İfadeler,Üslü ve Köklü İfadeler,Hesaplama,Kolay,√(7 + √48) - 3^(1/2) işlemi kaça eşittir?,2,3,4,5,6,A,Kitap,yok,"[SORU] √(7 + √48) - 3^(1/2) işlemi kaça eşittir?
[A] 2
[B] 3
[C] 4
[D] 5
[E] 6",Üslü ve Köklü İfadeler_Hesaplama
